Order_Date,Order_Priority,Ord_id
2012-06-03,LOW,Ord_371
2009-11-19,HIGH,Ord_372
2010-07-24,LOW,Ord_373
2010-04-08,MEDIUM,Ord_374
2011-07-03,MEDIUM,Ord_375
2011-10-20,NOT SPECIFIED,Ord_376
2009-04-08,NOT SPECIFIED,Ord_377
2010-04-28,LOW,Ord_378
2009-04-22,LOW,Ord_379
2011-04-12,HIGH,Ord_380
2010-06-08,NOT SPECIFIED,Ord_381
2011-09-15,LOW,Ord_382
2009-02-10,NOT SPECIFIED,Ord_383
2009-01-03,CRITICAL,Ord_384
2009-06-24,NOT SPECIFIED,Ord_385
2011-01-16,MEDIUM,Ord_386
2012-01-20,LOW,Ord_387
2010-05-21,CRITICAL,Ord_388
2012-03-15,NOT SPECIFIED,Ord_389
2011-07-08,MEDIUM,Ord_390
2011-05-21,HIGH,Ord_391
2010-12-22,NOT SPECIFIED,Ord_392
2009-03-07,LOW,Ord_393
2009-05-27,CRITICAL,Ord_394
2012-08-22,HIGH,Ord_395
2011-01-26,CRITICAL,Ord_396
2012-03-12,CRITICAL,Ord_397
2010-06-09,NOT SPECIFIED,Ord_398
2011-03-29,LOW,Ord_399
2010-08-20,HIGH,Ord_400
2010-02-12,LOW,Ord_401
2011-03-26,CRITICAL,Ord_402
2009-12-19,CRITICAL,Ord_403
2011-04-29,LOW,Ord_404
2010-10-24,HIGH,Ord_405
2010-12-05,HIGH,Ord_406
2010-11-04,MEDIUM,Ord_407
2009-01-24,LOW,Ord_408
2010-11-17,HIGH,Ord_409
2010-09-29,HIGH,Ord_410
2010-03-08,CRITICAL,Ord_411
2011-06-13,MEDIUM,Ord_412
2010-05-05,CRITICAL,Ord_413
2010-08-30,HIGH,Ord_414
2012-10-30,HIGH,Ord_415
2009-07-15,HIGH,Ord_416
2012-07-08,LOW,Ord_417
2009-01-02,CRITICAL,Ord_418
2012-07-07,MEDIUM,Ord_419
2009-03-27,MEDIUM,Ord_420
2010-09-23,NOT SPECIFIED,Ord_421
2011-03-28,LOW,Ord_422
2009-01-07,LOW,Ord_423
2010-11-12,HIGH,Ord_424
2009-09-16,HIGH,Ord_425
2011-04-02,HIGH,Ord_426
2010-11-09,MEDIUM,Ord_427
2010-02-03,MEDIUM,Ord_428
2009-09-15,CRITICAL,Ord_429
2010-12-30,MEDIUM,Ord_430
2011-07-25,MEDIUM,Ord_431
2009-12-23,LOW,Ord_432
2012-10-31,HIGH,Ord_433
2009-12-22,CRITICAL,Ord_434
2012-04-14,HIGH,Ord_435
2011-05-13,MEDIUM,Ord_436
2011-07-12,CRITICAL,Ord_437
2010-04-12,NOT SPECIFIED,Ord_438
2009-11-24,HIGH,Ord_439
2011-09-13,NOT SPECIFIED,Ord_440
2010-03-12,NOT SPECIFIED,Ord_441
2011-12-18,LOW,Ord_442
2012-09-08,LOW,Ord_443
2010-08-24,CRITICAL,Ord_444
2011-05-22,HIGH,Ord_445
2012-11-18,CRITICAL,Ord_446
2012-06-28,HIGH,Ord_447
2009-04-02,LOW,Ord_448
2009-12-25,NOT SPECIFIED,Ord_449
2011-09-26,HIGH,Ord_450
2011-09-22,MEDIUM,Ord_451
2009-02-15,CRITICAL,Ord_452
2009-11-10,MEDIUM,Ord_453
2011-10-03,MEDIUM,Ord_454
2012-11-08,HIGH,Ord_455
2009-12-25,HIGH,Ord_456
2012-06-29,LOW,Ord_457
2009-01-18,NOT SPECIFIED,Ord_458
2012-05-20,HIGH,Ord_459
2009-03-19,HIGH,Ord_460
2009-05-09,NOT SPECIFIED,Ord_461
2009-03-11,NOT SPECIFIED,Ord_462
2011-03-26,HIGH,Ord_463
2012-10-02,HIGH,Ord_464
2009-06-05,CRITICAL,Ord_465
2010-11-23,NOT SPECIFIED,Ord_466
2011-10-02,NOT SPECIFIED,Ord_467
2010-03-29,NOT SPECIFIED,Ord_468
2012-05-09,LOW,Ord_469
2011-01-31,CRITICAL,Ord_470
2009-07-08,CRITICAL,Ord_471
2012-05-05,HIGH,Ord_472
2009-10-11,HIGH,Ord_473
2010-06-14,NOT SPECIFIED,Ord_474
2012-07-01,LOW,Ord_475
2010-12-19,HIGH,Ord_476
2012-11-29,CRITICAL,Ord_477
2009-04-18,MEDIUM,Ord_478
2009-09-24,HIGH,Ord_479
2011-11-03,MEDIUM,Ord_480
2010-12-13,HIGH,Ord_481
2012-01-21,MEDIUM,Ord_482
2012-06-01,LOW,Ord_483
2009-10-12,NOT SPECIFIED,Ord_484
2010-12-02,CRITICAL,Ord_485
2009-06-26,CRITICAL,Ord_486
2011-08-02,CRITICAL,Ord_487
2011-02-20,CRITICAL,Ord_488
2012-10-09,HIGH,Ord_489
2010-12-02,CRITICAL,Ord_490
2010-01-02,LOW,Ord_491
2011-09-26,NOT SPECIFIED,Ord_492
2010-12-08,LOW,Ord_493
2010-08-20,HIGH,Ord_494
2012-05-17,MEDIUM,Ord_495
2010-09-07,LOW,Ord_496
2011-10-22,NOT SPECIFIED,Ord_497
2010-07-15,MEDIUM,Ord_498
2011-04-03,NOT SPECIFIED,Ord_499
2009-05-01,HIGH,Ord_500
2009-12-05,MEDIUM,Ord_501
2010-02-22,MEDIUM,Ord_502
2011-06-23,CRITICAL,Ord_503
2009-03-20,MEDIUM,Ord_504
2011-01-22,LOW,Ord_505
2011-07-28,LOW,Ord_506
2010-03-04,HIGH,Ord_507
2010-11-21,NOT SPECIFIED,Ord_508
2010-11-09,MEDIUM,Ord_509
2011-08-31,NOT SPECIFIED,Ord_510
2009-07-06,HIGH,Ord_511
2009-03-22,HIGH,Ord_512
2010-09-30,CRITICAL,Ord_513
2010-09-15,LOW,Ord_514
2010-10-01,NOT SPECIFIED,Ord_515
2010-06-26,CRITICAL,Ord_516
2011-07-23,LOW,Ord_517
2010-10-10,CRITICAL,Ord_518
2009-05-02,LOW,Ord_519
2011-09-11,LOW,Ord_520
2009-07-26,LOW,Ord_521
2009-04-18,MEDIUM,Ord_522
2012-02-24,LOW,Ord_523
2012-07-28,LOW,Ord_524
2011-12-14,LOW,Ord_525
2010-06-13,LOW,Ord_526
2010-01-10,NOT SPECIFIED,Ord_527
2012-04-27,HIGH,Ord_528
2011-09-24,CRITICAL,Ord_529
2012-06-30,HIGH,Ord_530
2011-10-11,CRITICAL,Ord_531
2009-05-11,NOT SPECIFIED,Ord_532
2009-02-19,NOT SPECIFIED,Ord_533
2010-02-03,CRITICAL,Ord_534
2009-06-28,CRITICAL,Ord_535
2009-01-26,HIGH,Ord_536
2011-02-08,CRITICAL,Ord_537
2010-04-07,HIGH,Ord_538
2012-01-10,NOT SPECIFIED,Ord_539
2011-07-14,NOT SPECIFIED,Ord_540
2010-07-25,MEDIUM,Ord_541
2009-06-07,LOW,Ord_542
2012-11-12,NOT SPECIFIED,Ord_543
2011-01-12,MEDIUM,Ord_544
2009-04-04,CRITICAL,Ord_545
2010-06-25,MEDIUM,Ord_546
2011-02-16,NOT SPECIFIED,Ord_547
2010-08-26,LOW,Ord_548
2010-04-11,HIGH,Ord_549
2009-04-28,LOW,Ord_550
2009-06-08,LOW,Ord_551
2009-03-18,MEDIUM,Ord_552
2009-05-01,NOT SPECIFIED,Ord_553
2012-08-10,LOW,Ord_554
2010-05-11,NOT SPECIFIED,Ord_555
2012-10-12,NOT SPECIFIED,Ord_556
2009-05-02,CRITICAL,Ord_557
2011-09-28,MEDIUM,Ord_558
2012-05-06,LOW,Ord_559
2010-09-26,MEDIUM,Ord_560
2009-01-21,MEDIUM,Ord_561
2012-05-10,CRITICAL,Ord_562
2009-03-25,CRITICAL,Ord_563
2012-09-20,NOT SPECIFIED,Ord_564
2010-05-02,NOT SPECIFIED,Ord_565
2010-03-19,HIGH,Ord_566
2011-11-19,LOW,Ord_567
2009-04-29,MEDIUM,Ord_568
2011-03-04,LOW,Ord_569
2011-04-16,MEDIUM,Ord_570
2010-06-15,LOW,Ord_571
2009-09-08,HIGH,Ord_572
2009-09-20,MEDIUM,Ord_573
2012-03-20,CRITICAL,Ord_574
2012-03-23,NOT SPECIFIED,Ord_575
2010-07-19,LOW,Ord_576
2012-11-21,MEDIUM,Ord_577
2009-03-27,HIGH,Ord_578
2010-05-14,NOT SPECIFIED,Ord_579
2010-10-17,CRITICAL,Ord_580
2010-08-24,NOT SPECIFIED,Ord_581
2011-10-08,HIGH,Ord_582
2009-09-24,MEDIUM,Ord_583
2012-10-30,HIGH,Ord_584
2010-07-05,MEDIUM,Ord_585
2011-09-04,LOW,Ord_586
2010-03-06,HIGH,Ord_587
2010-05-22,MEDIUM,Ord_588
2012-10-25,MEDIUM,Ord_589
2010-05-01,NOT SPECIFIED,Ord_590
2011-12-30,MEDIUM,Ord_591
2011-02-14,LOW,Ord_592
2010-05-28,MEDIUM,Ord_593
2010-06-28,MEDIUM,Ord_594
2011-01-03,LOW,Ord_595
2012-02-27,NOT SPECIFIED,Ord_596
2012-03-19,NOT SPECIFIED,Ord_597
2012-04-03,CRITICAL,Ord_598
2012-09-03,CRITICAL,Ord_599
2010-05-01,HIGH,Ord_600
2012-04-21,MEDIUM,Ord_601
2009-06-17,LOW,Ord_602
2012-06-13,MEDIUM,Ord_603
2012-07-16,MEDIUM,Ord_604
2009-05-15,NOT SPECIFIED,Ord_605
2011-02-01,CRITICAL,Ord_606
2012-05-01,LOW,Ord_607
2009-01-23,NOT SPECIFIED,Ord_608
2011-12-24,NOT SPECIFIED,Ord_609
2012-11-20,CRITICAL,Ord_610
2012-12-29,MEDIUM,Ord_611
2010-01-31,MEDIUM,Ord_612
2009-04-02,MEDIUM,Ord_613
2011-12-24,MEDIUM,Ord_614
2010-02-27,LOW,Ord_615
2012-06-25,CRITICAL,Ord_616
2012-03-13,HIGH,Ord_617
2010-12-28,MEDIUM,Ord_618
2012-03-07,HIGH,Ord_619
2012-05-04,NOT SPECIFIED,Ord_620
2009-07-24,LOW,Ord_621
2011-07-18,MEDIUM,Ord_622
2010-04-15,LOW,Ord_623
2010-06-15,LOW,Ord_624
2011-03-15,HIGH,Ord_625
2009-06-12,HIGH,Ord_626
2010-07-22,MEDIUM,Ord_627
2011-08-10,CRITICAL,Ord_628
2010-07-09,LOW,Ord_629
2012-01-22,NOT SPECIFIED,Ord_630
2012-05-04,HIGH,Ord_631
2009-12-12,MEDIUM,Ord_632
2012-03-23,MEDIUM,Ord_633
2011-09-13,CRITICAL,Ord_634
2012-05-09,CRITICAL,Ord_635
2010-08-21,MEDIUM,Ord_636
2012-10-26,HIGH,Ord_637
2010-06-10,LOW,Ord_638
2010-03-13,CRITICAL,Ord_639
2011-05-25,LOW,Ord_640
2011-09-05,NOT SPECIFIED,Ord_641
2010-01-18,NOT SPECIFIED,Ord_642
2009-12-12,CRITICAL,Ord_643
2010-01-22,CRITICAL,Ord_644
2012-09-12,NOT SPECIFIED,Ord_645
2009-08-28,MEDIUM,Ord_646
2012-04-11,HIGH,Ord_647
2010-07-20,LOW,Ord_648
2011-11-15,CRITICAL,Ord_649
2009-03-22,MEDIUM,Ord_650
2009-06-08,CRITICAL,Ord_651
2012-03-23,HIGH,Ord_652
2011-04-13,LOW,Ord_653
2011-06-09,CRITICAL,Ord_654
2012-05-23,MEDIUM,Ord_655
2012-04-03,LOW,Ord_656
2009-03-11,NOT SPECIFIED,Ord_657
2009-12-08,HIGH,Ord_658
2010-07-07,HIGH,Ord_659
2010-05-11,HIGH,Ord_660
2012-05-05,NOT SPECIFIED,Ord_661
2010-06-23,MEDIUM,Ord_662
2012-07-28,MEDIUM,Ord_663
2009-07-03,CRITICAL,Ord_664
2011-01-24,NOT SPECIFIED,Ord_665
2009-08-15,MEDIUM,Ord_666
2009-02-10,CRITICAL,Ord_667
2012-01-01,LOW,Ord_668
2009-11-27,HIGH,Ord_669
2010-04-08,LOW,Ord_670
2010-08-11,NOT SPECIFIED,Ord_671
2012-04-12,HIGH,Ord_672
2011-10-03,LOW,Ord_673
2009-07-16,CRITICAL,Ord_674
2009-02-22,NOT SPECIFIED,Ord_675
2012-09-21,CRITICAL,Ord_676
2012-10-11,NOT SPECIFIED,Ord_677
2010-12-04,LOW,Ord_678
2011-08-25,HIGH,Ord_679
2010-11-20,MEDIUM,Ord_680
2010-06-15,CRITICAL,Ord_681
2012-04-14,HIGH,Ord_682
2012-03-18,CRITICAL,Ord_683
2009-05-05,LOW,Ord_684
2012-04-18,NOT SPECIFIED,Ord_685
2011-09-01,MEDIUM,Ord_686
2009-06-03,NOT SPECIFIED,Ord_687
2010-07-06,CRITICAL,Ord_688
2012-01-16,MEDIUM,Ord_689
2010-02-02,CRITICAL,Ord_690
2012-08-18,MEDIUM,Ord_691
2012-06-10,HIGH,Ord_692
2011-03-24,MEDIUM,Ord_693
2012-02-10,CRITICAL,Ord_694
2012-08-14,MEDIUM,Ord_695
2011-02-26,CRITICAL,Ord_696
2012-10-11,LOW,Ord_697
2012-09-13,MEDIUM,Ord_698
2012-10-05,NOT SPECIFIED,Ord_699
2010-12-25,CRITICAL,Ord_700
2012-03-24,NOT SPECIFIED,Ord_701
2009-05-20,MEDIUM,Ord_702
2009-06-21,CRITICAL,Ord_703
2011-07-08,CRITICAL,Ord_704
